SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-12000000.0;89.94644360620173;264.0;499.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-12500000.0;80.78370309819282;269.0;501.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-13000000.0;93.87439909073323;264.0;503.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-13500000.0;89.46569640906246;264.0;503.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-14000000.0;97.2078343082993;280.0;495.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-14500000.0;102.31905329118196;262.0;489.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-15000000.0;98.7615187064553;247.0;483.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-15500000.0;100.91677481975263;246.0;484.0;-12.992250561207431
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-16000000.0;121.58185817485507;246.0;490.0;-12.992250561207431
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-16500000.0;121.05855561099193;246.0;490.0;-12.992250561207431
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-17000000.0;123.44493904527437;255.0;494.0;-12.992250561207431
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-17500000.0;123.30983684211381;254.0;479.0;-15.791891550631458
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-18000000.0;124.17163502288918;255.0;471.0;-15.791891550631458
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-18500000.0;137.95475925277978;252.0;471.0;-15.791891550631458
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-19000000.0;144.82498044813045;250.0;458.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2200000.0;-19500000.0;130.4273215081874;250.0;458.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-1000000.0;48.702400114351384;268.0;409.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-1500000.0;51.33538358351087;269.0;408.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-2000000.0;53.66469281527525;270.0;423.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-2500000.0;59.97171529980768;260.0;435.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-3000000.0;70.62576904026905;258.0;446.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-3500000.0;62.45645051508747;260.0;443.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-4000000.0;38.703806833829255;259.0;437.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-4500000.0;33.105514347806924;259.0;436.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-5000000.0;44.838483406470125;257.0;437.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-5500000.0;42.918879434935924;257.0;437.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-6000000.0;67.79157581393481;258.0;436.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-6500000.0;75.72589614522506;255.0;443.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-7000000.0;85.71435642208041;271.0;460.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-7500000.0;102.00024749001915;261.0;471.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-8000000.0;109.31749326320178;256.0;479.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-8500000.0;103.26782955239383;257.0;478.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-9000000.0;110.56226603709747;254.0;487.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-9500000.0;91.83651807883872;262.0;486.0;-11.823576041444706
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-10000000.0;107.13843676399709;260.0;494.0;-12.20890410958904
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;3.0;4.0;2300000.0;-10500000.0;102.71716734969802;257.0;497.0;-12.20890410958904
