SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;4.0;-1000000.0;100000.0;-125.96577545946835;485.0;326.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;6.0;-1000000.0;100000.0;-235.09200251086295;608.0;505.0;-4.708068406051297
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;8.0;-1000000.0;100000.0;-269.68908565480126;563.0;566.0;-5.5886947034587475
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;10.0;-1000000.0;100000.0;-237.83550546948376;487.0;491.0;-5.5886947034587475
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;12.0;-1000000.0;100000.0;-236.72899683137794;438.0;449.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;14.0;-1000000.0;100000.0;-199.07966821072338;452.0;484.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;16.0;-1000000.0;100000.0;-180.21460716851828;407.0;478.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;18.0;-1000000.0;100000.0;-173.3365887646317;390.0;459.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;20.0;-1000000.0;100000.0;-160.4970349178245;384.0;453.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;22.0;-1000000.0;100000.0;-157.6173900505075;375.0;446.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;3.0;24.0;-1000000.0;100000.0;-132.8006271411295;351.0;424.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;6.0;-1000000.0;100000.0;-200.9381198850149;427.0;327.0;-5.432949352073898
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;8.0;-1000000.0;100000.0;-216.51378362379805;404.0;449.0;-5.5886947034587475
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;10.0;-1000000.0;100000.0;-202.69201470458995;373.0;420.0;-4.655882795659158
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;12.0;-1000000.0;100000.0;-170.6318258424634;400.0;468.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;14.0;-1000000.0;100000.0;-152.80861148403974;369.0;453.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;16.0;-1000000.0;100000.0;-143.08031384535914;375.0;481.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;18.0;-1000000.0;100000.0;-140.47685017636485;342.0;418.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;20.0;-1000000.0;100000.0;-113.10473781974541;312.0;409.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;22.0;-1000000.0;100000.0;-172.26503786833874;301.0;359.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;5.0;24.0;-1000000.0;100000.0;-156.93919275267038;288.0;352.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;8.0;-1000000.0;100000.0;-160.89234064095945;321.0;325.0;-5.152813740836631
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;10.0;-1000000.0;100000.0;-136.19890111658557;368.0;402.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;12.0;-1000000.0;100000.0;-99.43967442280835;369.0;396.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;14.0;-1000000.0;100000.0;-127.36895761612323;391.0;464.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;16.0;-1000000.0;100000.0;-125.80556599451069;367.0;446.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;18.0;-1000000.0;100000.0;-124.54668341637839;337.0;393.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;20.0;-1000000.0;100000.0;-103.9587805249812;298.0;349.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;22.0;-1000000.0;100000.0;-109.22620286488092;264.0;315.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;7.0;24.0;-1000000.0;100000.0;-126.25623671598113;268.0;311.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;10.0;-1000000.0;100000.0;-120.99242573461251;319.0;267.0;-4.9002312512087185
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;12.0;-1000000.0;100000.0;-95.01522617038721;356.0;382.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;14.0;-1000000.0;100000.0;-79.24821630523583;360.0;414.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;16.0;-1000000.0;100000.0;-131.56273626253594;340.0;357.0;-9.35236609054075
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;18.0;-1000000.0;100000.0;-98.81643422471105;280.0;316.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;20.0;-1000000.0;100000.0;-79.47010900876847;274.0;296.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;22.0;-1000000.0;100000.0;-81.0294109984372;245.0;285.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;9.0;24.0;-1000000.0;100000.0;-103.33956918225063;262.0;291.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;12.0;-1000000.0;100000.0;-92.89711032024827;275.0;241.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;14.0;-1000000.0;100000.0;-149.53404957921543;313.0;326.0;-9.35236609054075
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;16.0;-1000000.0;100000.0;-124.1422010481275;326.0;339.0;-9.35236609054075
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;18.0;-1000000.0;100000.0;-108.02766821814895;297.0;317.0;-9.35236609054075
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;20.0;-1000000.0;100000.0;-99.2960876276032;258.0;286.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;22.0;-1000000.0;100000.0;-85.24030980994308;241.0;247.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;11.0;24.0;-1000000.0;100000.0;-65.43693821157844;251.0;262.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;13.0;14.0;-1000000.0;100000.0;-110.76709849140208;256.0;212.0;-9.35236609054075
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;13.0;16.0;-1000000.0;100000.0;-106.61765677527394;291.0;279.0;-9.35236609054075
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;13.0;18.0;-1000000.0;100000.0;-126.64173084178752;292.0;289.0;-7.38672208409098
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;13.0;20.0;-1000000.0;100000.0;-121.21336426616112;232.0;222.0;-7.38672208409098
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;13.0;22.0;-1000000.0;100000.0;-118.95978606291939;219.0;216.0;-7.38672208409098
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;13.0;24.0;-1000000.0;100000.0;-142.87239755410846;219.0;217.0;-5.895153913846384
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;15.0;16.0;-1000000.0;100000.0;-113.89586305479625;244.0;174.0;-7.38672208409098
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;15.0;18.0;-1000000.0;100000.0;-131.09539886634028;245.0;198.0;-7.38672208409098
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;15.0;20.0;-1000000.0;100000.0;-91.75042138557866;215.0;208.0;-7.38672208409098
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;15.0;22.0;-1000000.0;100000.0;-136.46429202438972;228.0;215.0;-4.896414253140746
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;15.0;24.0;-1000000.0;100000.0;-143.75780442281356;216.0;202.0;-5.895153913846384
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;17.0;18.0;-1000000.0;100000.0;-144.84588251700177;189.0;119.0;-4.834402122125219
3.0;6.0;0.4;0.4;400.0;500.0;6.0;7.0;17.0;20.0;-1000000.0;100000.0;-139.88322676235532;195.0;165.0;-4.745761492423988
