SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;50000.0;100.99145121520456;217.0;417.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;100000.0;101.10192673931576;217.0;417.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;150000.0;101.10192673931576;217.0;417.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;200000.0;101.10192673931576;217.0;417.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;250000.0;101.10192673931576;217.0;417.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;300000.0;101.36270775776913;216.0;418.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;350000.0;101.39896573534602;216.0;418.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;400000.0;108.96503188188375;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;450000.0;108.96503188188375;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;500000.0;108.9946046475353;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;550000.0;108.9946046475353;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;600000.0;108.9946046475353;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;650000.0;108.99055697578812;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;700000.0;108.12966115916731;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;750000.0;107.68971644074125;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;800000.0;107.68971644074125;213.0;421.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;850000.0;106.94969241690632;214.0;420.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;900000.0;106.94969241690632;214.0;420.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;950000.0;106.94969241690632;214.0;420.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1000000.0;106.94969241690632;214.0;420.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1050000.0;108.96138130042458;214.0;423.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1100000.0;108.96138130042458;214.0;423.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1150000.0;107.84901105956791;214.0;423.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1200000.0;107.35688267729711;214.0;423.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1250000.0;133.4183775201937;214.0;423.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;5.0;18.0;17.0;22.0;-200000.0;1300000.0;132.1004000490262;216.0;427.0;-5.298248831178433
