SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-1000000.0;181.99966475232162;300.0;628.0;-9.041435735022432
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-1500000.0;200.45577747245397;302.0;650.0;-9.041435735022432
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-2000000.0;245.76375501135294;302.0;675.0;-9.041435735022432
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-2500000.0;206.50565368996757;306.0;682.0;-9.041435735022432
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-3000000.0;238.63489833489172;302.0;720.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-3500000.0;241.1146845983215;299.0;735.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-4000000.0;252.43779585243843;288.0;736.0;-12.808219178082192
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-4500000.0;235.30277881534084;286.0;724.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-5000000.0;227.32835189770543;289.0;716.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-5500000.0;258.3495914423758;298.0;663.0;-14.607513015236188
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-6000000.0;253.94243939973197;286.0;642.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-6500000.0;230.82607137529112;290.0;658.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-7000000.0;240.2120254846119;276.0;658.0;-15.953737043098744
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-7500000.0;189.79322997196232;263.0;611.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-8000000.0;191.74431836381837;263.0;611.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-8500000.0;197.7419032289734;262.0;612.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-9000000.0;189.5136400507687;262.0;606.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-9500000.0;186.59441135607335;271.0;604.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-10000000.0;192.60597993792413;266.0;615.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-10500000.0;209.78816470893122;265.0;620.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-11000000.0;208.59636063801275;263.0;616.0;-14.907404878315255
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-11500000.0;210.86847596345575;269.0;628.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-12000000.0;199.62772987892362;269.0;628.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-12500000.0;204.20481414273507;258.0;580.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-13000000.0;175.7134978460664;259.0;579.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-13500000.0;185.18884066687684;249.0;561.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-14000000.0;207.03944738109678;251.0;585.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-14500000.0;177.01440211451316;268.0;588.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-15000000.0;165.67465863222125;267.0;586.0;-17.541724941724947
3.0;6.0;0.4;0.4;400.0;500.0;3.0;21.0;13.0;14.0;500000.0;-15500000.0;143.70695264674487;267.0;586.0;-17.541724941724947
